df_name,x_var,y_var,m_var,total_effect_coef,total_effect_p,path_a_coef,path_a_pval,path_b_coef,path_b_pval,direct_effect_coef,direct_effect_pval
dishonest,lierate,acc_drop,Interested,0.18451229845615755,0.1281389679104488,0.9568962098039107,0.330942895972939,-0.001844401103422346,0.9302588324965952,0.1862771988813805,0.1353338519371333
dishonest,lierate,acc_drop,Distressed,0.18451229845615755,0.1281389679104488,0.3799114198662291,0.746828859176933,-0.022941944686375462,0.18457145991732635,0.19322820523645087,0.10839095153068404
dishonest,lierate,acc_drop,Excited,0.18451229845615755,0.1281389679104488,0.9214593486896283,0.3821303558116491,0.00035178489136839593,0.9857155447764703,0.18418814297927844,0.13866302143453677
dishonest,lierate,acc_drop,Upset,0.18451229845615755,0.1281389679104488,-0.1839486066957923,0.8772541744907938,-0.016054729466411524,0.35029279267531266,0.18155905333993316,0.13510684381121532
dishonest,lierate,acc_drop,Strong,0.18451229845615755,0.1281389679104488,-1.1716375305733648,0.22521683751463153,-0.02157204992627815,0.31322937388285027,0.15923767515112772,0.19649485191524707
dishonest,lierate,acc_drop,Guilty,0.18451229845615755,0.1281389679104488,1.8806776320138467,0.0573670657632278,0.0182414407704201,0.39082225480211097,0.15020602882352296,0.23853434781565583
dishonest,lierate,acc_drop,Scared,0.18451229845615755,0.1281389679104488,0.20868373767299972,0.8082120289641852,-0.029081513281999503,0.21991580618731152,0.19058113734503207,0.11422845269322103
dishonest,lierate,acc_drop,Hostile,0.18451229845615755,0.1281389679104488,0.11499311911443985,0.8623442680091751,0.008649286503148447,0.7806022329209703,0.18351769002304597,0.13556840232728076
dishonest,lierate,acc_drop,Enthusiastic,0.18451229845615755,0.1281389679104488,0.427261527736881,0.6745392366029601,0.003094702367521098,0.87865776758371,0.18319005119471954,0.13735787855936257
dishonest,lierate,acc_drop,Proud,0.18451229845615755,0.1281389679104488,-0.43725653984603485,0.6881178498202427,-0.01269882844339425,0.5009921681711172,0.17895965267090053,0.14378994969153583
dishonest,lierate,acc_drop,Irritable,0.18451229845615755,0.1281389679104488,0.612421651051965,0.45771098471360105,-0.04768441794428366,0.05048659271645274,0.21371526842304772,0.07031901481862933
dishonest,lierate,acc_drop,Alert,0.18451229845615755,0.1281389679104488,0.6201955493590868,0.6100370745405991,-0.025722466717285584,0.12296137019093624,0.20046525783275523,0.094052745303791
dishonest,lierate,acc_drop,Ashamed,0.18451229845615755,0.1281389679104488,1.0297891263979624,0.3418761323965075,-0.00567036672181819,0.766881013338632,0.19035158044897468,0.1266058228576738
dishonest,lierate,acc_drop,Inspired,0.18451229845615755,0.1281389679104488,-0.599094968239754,0.477279022126714,0.013628588497925278,0.5775904112785302,0.19267711724947473,0.11893530487762899
dishonest,lierate,acc_drop,Nervous,0.18451229845615755,0.1281389679104488,-0.6050515916179388,0.5753353807938799,-0.013403270761227902,0.481640329386986,0.17640262814919033,0.15004757986075756
dishonest,lierate,acc_drop,Determined,0.18451229845615755,0.1281389679104488,0.8832965751819406,0.4664924428476035,-0.020728582538628866,0.2188640834304448,0.20282178442090448,0.09569175389565512
dishonest,lierate,acc_drop,Attentive,0.18451229845615755,0.1281389679104488,0.9682036982506346,0.350450834547412,0.003914088262450632,0.8447500144045207,0.18072266372517354,0.14639352322356308
dishonest,lierate,acc_drop,Jittery,0.18451229845615755,0.1281389679104488,-0.6189840327397922,0.5804223065954004,-0.012487274916468083,0.49677307417555605,0.17678287467043177,0.14934624668380225
dishonest,lierate,acc_drop,Active,0.18451229845615755,0.1281389679104488,0.18081885542929063,0.869665377492274,-0.0002493219557204978,0.9893615726836336,0.18455738056682422,0.13385595496430389
dishonest,lierate,acc_drop,Afraid,0.18451229845615755,0.1281389679104488,-0.3185279111554469,0.7299503280890831,-0.021988443941205756,0.321559486558148,0.17750836533800649,0.14364589835300276
dishonest,lierate,acc_drop,Pos,0.18451229845615755,0.1281389679104488,2.750142725792221,0.6519476094068226,-0.002363750843109688,0.48324541176707103,0.1910129506429209,0.11950428338460917
dishonest,lierate,acc_drop,Neg,0.18451229845615755,0.1281389679104488,2.499964543908473,0.7261469632780504,-0.002827751129042107,0.32416301313555473,0.19158157601775977,0.11550178239585254
dishonest,lierate,acc_drop,Total,0.18451229845615755,0.1281389679104488,5.250107269700705,0.5842743483182944,-0.0025243779661461743,0.23580090494012218,0.1977655535676939,0.10332584638959193
dishonest,lierate,meta_drop,Interested,0.05866441205747484,0.256827118351163,0.9568962098039107,0.330942895972939,-0.0021740262561989743,0.8102562782941242,0.06074472954204577,0.25355069547880865
dishonest,lierate,meta_drop,Distressed,0.05866441205747484,0.256827118351163,0.3799114198662291,0.746828859176933,-0.0009963581214239383,0.8947214206990151,0.05904293988608022,0.2614073585782474
dishonest,lierate,meta_drop,Excited,0.05866441205747484,0.256827118351163,0.9214593486896283,0.3821303558116491,-0.007338653572984326,0.38216347431985653,0.06542668299909576,0.21357459332609421
dishonest,lierate,meta_drop,Upset,0.05866441205747484,0.256827118351163,-0.1839486066957923,0.8772541744907938,0.0011683034548544842,0.875139101697251,0.05887931985019314,0.262111246110479
dishonest,lierate,meta_drop,Strong,0.05866441205747484,0.256827118351163,-1.1716375305733648,0.22521683751463153,-0.011571490884040388,0.20623403872772833,0.04510681905304552,0.3872845427211278
dishonest,lierate,meta_drop,Guilty,0.05866441205747484,0.256827118351163,1.8806776320138467,0.0573670657632278,0.01248530584885408,0.16809961435271142,0.035183576618683286,0.5103753823516874
