df_name,x_var,y_var,m_var,total_effect_coef,total_effect_p,path_a_coef,path_a_pval,path_b_coef,path_b_pval,direct_effect_coef,direct_effect_pval
dishonest,lierate,acc_drop,Interested,0.25472628757935256,0.1281389679104486,0.16438266288390196,0.3309428959729397,-0.01482219913288564,0.9302588324965972,0.25716280014261167,0.1353338519371329
dishonest,lierate,acc_drop,Distressed,0.25472628757935256,0.1281389679104486,0.054916677619488236,0.7468288591769334,-0.21910726045435563,0.1845714599173262,0.2667589303658136,0.10839095153068394
dishonest,lierate,acc_drop,Excited,0.25472628757935256,0.1281389679104486,0.1479664162079376,0.38213035581165,0.0030243960062014442,0.9857155447764699,0.25427877854112113,0.13866302143453677
dishonest,lierate,acc_drop,Upset,0.25472628757935256,0.1281389679104486,-0.02628954274476125,0.8772541744907936,-0.15508325555948668,0.35029279267531266,0.2506492197033247,0.135106843811215
dishonest,lierate,acc_drop,Strong,0.25472628757935256,0.1281389679104486,-0.20427923177454319,0.22521683751463045,-0.17080828135598777,0.3132293738828503,0.21983370308322137,0.19649485191524693
dishonest,lierate,acc_drop,Guilty,0.25472628757935256,0.1281389679104486,0.3152417662177907,0.057367065763227934,0.1502374459332768,0.39082225480211086,0.2073651697712966,0.2385343478156556
dishonest,lierate,acc_drop,Scared,0.25472628757935256,0.1281389679104486,0.0413058106162634,0.8082120289641858,-0.2028350045385223,0.21991580618731188,0.26310455186316956,0.11422845269322114
dishonest,lierate,acc_drop,Hostile,0.25472628757935256,0.1281389679104486,0.029512013861317365,0.8623442680091759,0.04652664513946081,0.7806022329209689,0.2533531925830761,0.1355684023272806
dishonest,lierate,acc_drop,Enthusiastic,0.25472628757935256,0.1281389679104486,0.07139779966283917,0.6745392366029611,0.025566795378514386,0.8786577675837091,0.25290087464489647,0.13735787855936257
dishonest,lierate,acc_drop,Proud,0.25472628757935256,0.1281389679104486,-0.06825719436851507,0.6881178498202414,-0.11230523061060446,0.5009921681711165,0.2470606476249637,0.14378994969153572
dishonest,lierate,acc_drop,Irritable,0.25472628757935256,0.1281389679104486,0.125920906454172,0.45771098471360183,-0.3201677822943705,0.05048659271645309,0.29504210494328154,0.07031901481862958
dishonest,lierate,acc_drop,Alert,0.25472628757935256,0.1281389679104486,0.08666332309370273,0.6100370745405994,-0.2541290825669033,0.12296137019093578,0.2767499583693543,0.09405274530379103
dishonest,lierate,acc_drop,Ashamed,0.25472628757935256,0.1281389679104486,0.16075349401035624,0.3418761323965078,-0.05014729076616084,0.766881013338633,0.26278763978516606,0.12660582285767372
dishonest,lierate,acc_drop,Inspired,0.25472628757935256,0.1281389679104486,-0.12054634157303872,0.4772790221267129,0.09350631954787207,0.5775904112785294,0.26599813231480784,0.118935304877629
dishonest,lierate,acc_drop,Nervous,0.25472628757935256,0.1281389679104486,-0.09515470590228296,0.5753353807938795,-0.11765797638562775,0.4816403293869861,0.2435305774393205,0.15004757986075737
dishonest,lierate,acc_drop,Determined,0.25472628757935256,0.1281389679104486,0.12349421259886902,0.46649244284760516,-0.204681218457473,0.21886408343044572,0.28000323348653516,0.09569175389565537
dishonest,lierate,acc_drop,Attentive,0.25472628757935256,0.1281389679104486,0.157956651451468,0.3504508345474133,0.03312133862005983,0.8447500144045192,0.24949455183933775,0.146393523223563
dishonest,lierate,acc_drop,Jittery,0.25472628757935256,0.1281389679104486,-0.093896073954781,0.5804223065953994,-0.11364442430381169,0.4967730741755578,0.24405552231037336,0.14934624668380192
dishonest,lierate,acc_drop,Active,0.25472628757935256,0.1281389679104486,0.02792850979690254,0.8696653774922755,-0.002228460419083154,0.9893615726836338,0.2547885251579988,0.13385595496430389
dishonest,lierate,acc_drop,Afraid,0.25472628757935256,0.1281389679104486,-0.058715415122390646,0.7299503280890824,-0.16467903061728664,0.3215594865581498,0.2450570899347056,0.14364589835300276
dishonest,lierate,acc_drop,Pos,0.25472628757935256,0.1281389679104486,0.07667588435942692,0.6519476094068247,-0.11704330687523383,0.48324541176706826,0.2637006866423629,0.11950428338460904
dishonest,lierate,acc_drop,Neg,0.25472628757935256,0.1281389679104486,0.05957523466810952,0.7261469632780513,-0.16381652885333492,0.3241630131355566,0.2644856957283051,0.11550178239585236
dishonest,lierate,acc_drop,Total,0.25472628757935256,0.1281389679104486,0.0929462707539758,0.5842743483182973,-0.19685163924513327,0.23580090494012076,0.2730229133389948,0.10332584638959215
dishonest,lierate,meta_drop,Interested,0.19125286610886125,0.25682711835116306,0.16438266288390196,0.3309428959729397,-0.041257873269257415,0.8102562782941265,0.19803494518178827,0.2535506954788082
dishonest,lierate,meta_drop,Distressed,0.19125286610886125,0.25682711835116306,0.054916677619488236,0.7468288591769334,-0.0224712270574253,0.8947214206990151,0.19248691124088826,0.2614073585782471
dishonest,lierate,meta_drop,Excited,0.19125286610886125,0.25682711835116306,0.1479664162079376,0.38213035581165,-0.14899189436382904,0.38216347431985664,0.21329866276190856,0.21357459332609405
dishonest,lierate,meta_drop,Upset,0.19125286610886125,0.25682711835116306,-0.02628954274476125,0.8772541744907936,0.02665031587344264,0.8751391016972505,0.19195349072717743,0.2621112461104788
dishonest,lierate,meta_drop,Strong,0.19125286610886125,0.25682711835116306,-0.20427923177454319,0.22521683751463045,-0.21636729027681964,0.2062340387277283,0.14705352226997295,0.3872845427211278
dishonest,lierate,meta_drop,Guilty,0.19125286610886125,0.25682711835116306,0.3152417662177907,0.057367065763227934,0.24283038170244012,0.1680996143527114,0.11470258768964382,0.5103753823516871
dishonest,lierate,meta_drop,Scared,0.19125286610886125,0.25682711835116306,0.0413058106162634,0.8082120289641858,0.01391833129304156,0.9346373165879026,0.1906779581523764,0.26560067031082857
dishonest,lierate,meta_drop,Hostile,0.19125286610886125,0.25682711835116306,0.029512013861317365,0.8623442680091759,0.1318193961432226,0.4350630879696217,0.18736261026269185,0.2694199799953359
dishonest,lierate,meta_drop,Enthusiastic,0.19125286610886125,0.25682711835116306,0.07139779966283917,0.6745392366029611,-0.21148337372051884,0.2081291533366424,0.20635231365778017,0.2191200931265676
dishonest,lierate,meta_drop,Proud,0.19125286610886125,0.25682711835116306,-0.06825719436851507,0.6881178498202414,-0.23121127694193455,0.16767601380333438,0.175471033038443,0.2921835504923974
dishonest,lierate,meta_drop,Irritable,0.19125286610886125,0.25682711835116306,0.125920906454172,0.45771098471360183,-0.046441317857073845,0.7857456611234155,0.19710079895035032,0.25298300591919354
dishonest,lierate,meta_drop,Alert,0.19125286610886125,0.25682711835116306,0.08666332309370273,0.6100370745405994,-0.2514550582916118,0.13302405931301706,0.2130447970691331,0.20097964932973905
dishonest,lierate,meta_drop,Ashamed,0.19125286610886125,0.25682711835116306,0.16075349401035624,0.3418761323965078,-0.1054045086645233,0.5383998644640773,0.20819700916112818,0.22801136262398644
dishonest,lierate,meta_drop,Inspired,0.19125286610886125,0.25682711835116306,-0.12054634157303872,0.4772790221267129,0.03238398030253655,0.8495992127673316,0.19515663645990536,0.2575546347103764
dishonest,lierate,meta_drop,Nervous,0.19125286610886125,0.25682711835116306,-0.09515470590228296,0.5753353807938795,-0.15717588168809352,0.3530788891658344,0.17629684131189874,0.29838622470652143
dishonest,lierate,meta_drop,Determined,0.19125286610886125,0.25682711835116306,0.12349421259886902,0.46649244284760516,-0.26879126678508414,0.10886982589733611,0.2244470319539377,0.1781603386198237
dishonest,lierate,meta_drop,Attentive,0.19125286610886125,0.25682711835116306,0.157956651451468,0.3504508345474133,-0.14189760763149178,0.4062300853695572,0.21366653705930608,0.21399747558196128
dishonest,lierate,meta_drop,Jittery,0.19125286610886125,0.25682711835116306,-0.093896073954781,0.5804223065953994,0.13472738040015822,0.42677045076996867,0.20390323818264838,0.23184231692961002
dishonest,lierate,meta_drop,Active,0.19125286610886125,0.25682711835116306,0.02792850979690254,0.8696653774922755,-0.26168616253100546,0.1161465030845531,0.19856137066282226,0.22960514277589758
dishonest,lierate,meta_drop,Afraid,0.19125286610886125,0.25682711835116306,-0.058715415122390646,0.7299503280890824,-0.015952682262201402,0.9251739779450712,0.19031619774752048,0.26688728567677544
dishonest,lierate,meta_drop,Pos,0.19125286610886125,0.25682711835116306,0.07667588435942692,0.6519476094068247,-0.31201687174871673,0.05963739617329979,0.215177035685256,0.18791181813594462
dishonest,lierate,meta_drop,Neg,0.19125286610886125,0.25682711835116306,0.05957523466810952,0.7261469632780513,0.020163097921204066,0.9055090381756263,0.19005164481856945,0.2675276911640764
dishonest,lierate,meta_drop,Total,0.19125286610886125,0.25682711835116306,0.0929462707539758,0.5842743483182973,-0.1836199868841139,0.27673092877268274,0.20831965912563377,0.21834662487229597
dishonest,lierate,rt_drop,Interested,-0.14463834961972433,0.39304516368501796,0.16438266288390196,0.3309428959729397,0.12345794843853007,0.47454669123001436,-0.16493269593823334,0.34083704802636594
dishonest,lierate,rt_drop,Distressed,-0.14463834961972433,0.39304516368501796,0.054916677619488236,0.7468288591769334,0.04936556326190486,0.7729486100917231,-0.14734934234288288,0.39143396252905516
dishonest,lierate,rt_drop,Excited,-0.14463834961972433,0.39304516368501796,0.1479664162079376,0.38213035581165,-0.04463779563703991,0.7961177017843161,-0.13803345497188918,0.4262609715577491
dishonest,lierate,rt_drop,Upset,-0.14463834961972433,0.39304516368501796,-0.02628954274476125,0.8772541744907936,-0.1785816714086891,0.29235448959332105,-0.1493331801036539,0.3774061025830693
dishonest,lierate,rt_drop,Strong,-0.14463834961972433,0.39304516368501796,-0.20427923177454319,0.22521683751463045,-0.004592368812130149,0.9790197577066828,-0.14557647519269168,0.4068934227691172
dishonest,lierate,rt_drop,Guilty,-0.14463834961972433,0.39304516368501796,0.3152417662177907,0.057367065763227934,0.21647387906596371,0.22434844363829143,-0.2128799575964952,0.23196970589904986
dishonest,lierate,rt_drop,Scared,-0.14463834961972433,0.39304516368501796,0.0413058106162634,0.8082120289641858,0.13480487251449996,0.42859495218621346,-0.15020657415395786,0.3782882559784564
dishonest,lierate,rt_drop,Hostile,-0.14463834961972433,0.39304516368501796,0.029512013861317365,0.8623442680091759,-0.0003579397456984647,0.9983300709562156,-0.1446277860969877,0.4002257800114305
dishonest,lierate,rt_drop,Enthusiastic,-0.14463834961972433,0.39304516368501796,0.07139779966283917,0.6745392366029611,-0.0748366834841963,0.661905670921957,-0.13929517508488834,0.41730966165976713
dishonest,lierate,rt_drop,Proud,-0.14463834961972433,0.39304516368501796,-0.06825719436851507,0.6881178498202414,-0.08471543797015278,0.6203769003233472,-0.150420787735267,0.3809952978295279
dishonest,lierate,rt_drop,Irritable,-0.14463834961972433,0.39304516368501796,0.125920906454172,0.45771098471360183,-0.06005431934340092,0.7272214945334581,-0.13707625529151496,0.4276633867265054
dishonest,lierate,rt_drop,Alert,-0.14463834961972433,0.39304516368501796,0.08666332309370273,0.6100370745405994,-0.09471740190173501,0.5800900741705515,-0.13642982481611826,0.426634314062763
dishonest,lierate,rt_drop,Ashamed,-0.14463834961972433,0.39304516368501796,0.16075349401035624,0.3418761323965078,0.16866833010551843,0.32666541002564486,-0.17175237301307855,0.3180244006346421
dishonest,lierate,rt_drop,Inspired,-0.14463834961972433,0.39304516368501796,-0.12054634157303872,0.4772790221267129,-0.07163705572653148,0.6770125325559738,-0.15327393460862163,0.3749920008087011
dishonest,lierate,rt_drop,Nervous,-0.14463834961972433,0.39304516368501796,-0.09515470590228296,0.5753353807938795,0.05784589905090504,0.7360149457948771,-0.13913404010788238,0.4192949409525145
dishonest,lierate,rt_drop,Determined,-0.14463834961972433,0.39304516368501796,0.12349421259886902,0.46649244284760516,-0.05127575238685122,0.7658161115886404,-0.13830609095329557,0.42365311734303035
dishonest,lierate,rt_drop,Attentive,-0.14463834961972433,0.39304516368501796,0.157956651451468,0.3504508345474133,0.23692135262188113,0.16504282741539616,-0.18206165313722925,0.2832400135534085
dishonest,lierate,rt_drop,Jittery,-0.14463834961972433,0.39304516368501796,-0.093896073954781,0.5804223065953994,-0.017214636757051982,0.9201347234590669,-0.1462547364257692,0.3967981873579042
dishonest,lierate,rt_drop,Active,-0.14463834961972433,0.39304516368501796,0.02792850979690254,0.8696653774922755,-0.05303735096417605,0.7562888234054709,-0.14315709544371952,0.4042949801633605
dishonest,lierate,rt_drop,Afraid,-0.14463834961972433,0.39304516368501796,-0.058715415122390646,0.7299503280890824,0.022623217050843712,0.8948821230020118,-0.14331001803918006,0.4049673610293547
dishonest,lierate,rt_drop,Pos,-0.14463834961972433,0.39304516368501796,0.07667588435942692,0.6519476094068247,-0.02511432823563034,0.8835238165749015,-0.1427126862921645,0.4074476029302059
dishonest,lierate,rt_drop,Neg,-0.14463834961972433,0.39304516368501796,0.05957523466810952,0.7261469632780513,0.049572758833013104,0.7720801659295058,-0.1475916583603466,0.39078481795616293
dishonest,lierate,rt_drop,Total,-0.14463834961972433,0.39304516368501796,0.0929462707539758,0.5842743483182973,0.021025313262136816,0.9025234668050054,-0.14659257407887413,0.3956436753149021
dishonest,lierate,conf_drop,Interested,0.11612175032872582,0.4937108775022704,0.16438266288390196,0.3309428959729397,-0.27753303008845953,0.10372410731457464,0.16174336885290486,0.33675681492562093
dishonest,lierate,conf_drop,Distressed,0.11612175032872582,0.4937108775022704,0.054916677619488236,0.7468288591769334,0.10697857964609331,0.5324238160922624,0.1102468421581106,0.5200501637011976
dishonest,lierate,conf_drop,Excited,0.11612175032872582,0.4937108775022704,0.1479664162079376,0.38213035581165,-0.12925140206918956,0.4544221490843665,0.13524661708275493,0.4339479387924222
dishonest,lierate,conf_drop,Upset,0.11612175032872582,0.4937108775022704,-0.02628954274476125,0.8772541744907936,-0.03761782507307207,0.8264731479695613,0.11513279490850234,0.5035145222154873
dishonest,lierate,conf_drop,Strong,0.11612175032872582,0.4937108775022704,-0.20427923177454319,0.22521683751463045,-0.20012634085174602,0.24889053796842686,0.07524009516168087,0.6619618739704959
dishonest,lierate,conf_drop,Guilty,0.11612175032872582,0.4937108775022704,0.3152417662177907,0.057367065763227934,0.17458167311188952,0.3308694041939899,0.061086315347676834,0.7320943789683785
dishonest,lierate,conf_drop,Scared,0.11612175032872582,0.4937108775022704,0.0413058106162634,0.8082120289641858,0.14602843498776508,0.39258906786868164,0.11008992744853188,0.5182549135580778
dishonest,lierate,conf_drop,Hostile,0.11612175032872582,0.4937108775022704,0.029512013861317365,0.8623442680091759,0.07010035524573928,0.682646700555457,0.11405294767303029,0.5067871011950225
dishonest,lierate,conf_drop,Enthusiastic,0.11612175032872582,0.4937108775022704,0.07139779966283917,0.6745392366029611,-0.08640576083156995,0.6148163530793515,0.12229093153029341,0.4771703621731994
dishonest,lierate,conf_drop,Proud,0.11612175032872582,0.4937108775022704,-0.06825719436851507,0.6881178498202414,-0.18001245110593936,0.2912713009296365,0.10383460546483489,0.5404659152068757
dishonest,lierate,conf_drop,Irritable,0.11612175032872582,0.4937108775022704,0.125920906454172,0.45771098471360183,-0.116857485582172,0.49782913416096064,0.13083655083918833,0.4482413802628664
dishonest,lierate,conf_drop,Alert,0.11612175032872582,0.4937108775022704,0.08666332309370273,0.6100370745405994,-0.16061480606509254,0.34791567409193447,0.13004116316037737,0.4462532438337249
dishonest,lierate,conf_drop,Ashamed,0.11612175032872582,0.4937108775022704,0.16075349401035624,0.3418761323965078,0.13729755209332664,0.42752150452303384,0.09405068911065463,0.5858444755267451
dishonest,lierate,conf_drop,Inspired,0.11612175032872582,0.4937108775022704,-0.12054634157303872,0.4772790221267129,0.048325485802345906,0.7796810488757999,0.12194721084693841,0.4816148666924228
dishonest,lierate,conf_drop,Nervous,0.11612175032872582,0.4937108775022704,-0.09515470590228296,0.5753353807938795,-0.013948574300579263,0.9355033976104935,0.11479447784339808,0.5067991338764808
dishonest,lierate,conf_drop,Determined,0.11612175032872582,0.4937108775022704,0.12349421259886902,0.46649244284760516,-0.3026203017926458,0.07308751553822601,0.15349360621504074,0.35480020324511885
dishonest,lierate,conf_drop,Attentive,0.11612175032872582,0.4937108775022704,0.157956651451468,0.3504508345474133,-0.3005131633736713,0.07673016563691891,0.16358980333231893,0.32738409367422916
dishonest,lierate,conf_drop,Jittery,0.11612175032872582,0.4937108775022704,-0.093896073954781,0.5804223065953994,0.13814763801774266,0.4205809699239972,0.12909327116471817,0.45139925810259307
dishonest,lierate,conf_drop,Active,0.11612175032872582,0.4937108775022704,0.02792850979690254,0.8696653774922755,-0.28250225749232966,0.09284603488164743,0.12401161739474745,0.4530394037405361
dishonest,lierate,conf_drop,Afraid,0.11612175032872582,0.4937108775022704,-0.058715415122390646,0.7299503280890824,0.030372673801351557,0.8597144410708497,0.11790509447934913,0.4940645858434958
dishonest,lierate,conf_drop,Pos,0.11612175032872582,0.4937108775022704,0.07667588435942692,0.6519476094068247,-0.3303933301711581,0.04814461548181077,0.14145495110605558,0.3862836559152869
dishonest,lierate,conf_drop,Neg,0.11612175032872582,0.4937108775022704,0.05957523466810952,0.7261469632780513,0.08845540408911169,0.606136287545985,0.11085199887245455,0.5186563808545197
dishonest,lierate,conf_drop,Total,0.11612175032872582,0.4937108775022704,0.0929462707539758,0.5842743483182973,-0.14432614857412035,0.3998510073289542,0.12953632761097467,0.4494175905396991
dishonest,lierate,auc_drop,Interested,-0.32656594448018267,0.04852938607919418,0.16438266288390196,0.3309428959729397,-0.2550519320069285,0.11661314725705507,-0.28463982872319993,0.08123483934149264
dishonest,lierate,auc_drop,Distressed,-0.32656594448018267,0.04852938607919418,0.054916677619488236,0.7468288591769334,0.4222602422505536,0.006393917917249762,-0.3497550740753835,0.021650826147919938
dishonest,lierate,auc_drop,Excited,-0.32656594448018267,0.04852938607919418,0.1479664162079376,0.38213035581165,-0.1781122017922179,0.27645269083459667,-0.3002113202980832,0.07092743368161351
dishonest,lierate,auc_drop,Upset,-0.32656594448018267,0.04852938607919418,-0.02628954274476125,0.8772541744907936,0.13531428755868752,0.40502677830595313,-0.3230085937334316,0.05211720077646106
